,Index1,Metro_Num
1133,1580,1
1134,1581,3
1135,1582,2
1136,1584,1
1137,1585,1
1138,1586,2
1139,1587,3
1140,1588,2
1141,1589,1
1142,1590,2
1143,1591,2
1144,1592,2
1145,1593,1
1146,1595,6
1147,1596,2
1148,1597,3
1149,1598,2
1150,1599,3
1151,1601,2
1152,1602,2
1153,1603,2
1154,1604,1
1155,1605,1
1156,1607,1
1157,1609,1
1158,1610,1
1159,1611,2
1160,1612,1
1161,1613,3
1162,1614,2
1163,1615,3
1164,1616,2
1165,1618,2
1166,1619,5
1167,1620,5
1168,1621,2
1169,1622,1
1170,1623,1
1171,1624,3
1172,1626,1
1173,1627,2
1174,1630,4
1175,1631,3
1176,1632,1
1177,1634,5
1178,1635,1
1179,1638,1
1180,1639,3
1181,1640,1
1182,1641,1
1183,1642,1
1184,1643,3
1185,1644,2
1186,1646,4
1187,1647,2
1188,1648,1
1189,1650,3
1190,1651,2
1191,1652,1
1192,1653,3
1193,1655,6
1194,1657,1
1195,1658,1
1196,1659,1
1197,1660,1
1198,1661,1
1199,1662,5
1200,1665,2
1201,1666,3
1202,1667,1
1203,1668,4
1204,1672,1
1205,1673,1
1206,1675,2
1207,1676,4
1208,1677,1
1209,1678,1
1210,1679,1
1211,1684,1
1212,1687,5
1213,1688,1
1214,1689,2
1215,1692,1
1216,1694,4
1217,1696,1
1218,1698,2
1219,1699,1
1220,1700,2
1221,1701,3
1222,1702,2
1223,1705,1
1224,1706,1
1225,1707,1
1226,1708,5
1227,1710,1
1228,1711,1
1229,1712,4
1230,1713,2
1231,1714,2
1232,1716,3
1233,1717,1
1234,1718,1
1235,1719,1
1236,1721,1
1237,1722,2
1238,1723,1
1239,1724,1
1240,1725,1
1241,1726,1
1242,1727,4
1243,1728,4
1244,1729,1
1245,1730,1
1246,1731,1
1247,1732,2
1248,1733,1
1249,1734,2
1250,1735,2
1251,1736,1
1252,1743,2
1253,1744,2
1254,1745,3
1255,1746,3
1256,1747,1
1257,1748,1
1258,1749,1
1259,1751,1
1260,1752,3
1261,1753,1
1262,1756,1
1263,1758,3
1264,1759,1
1265,1760,3
1266,1761,1
1267,1762,1
1268,1763,1
1269,1765,1
1270,1766,1
1271,1767,1
1272,1768,4
1273,1769,3
1274,1770,2
1275,1771,1
1276,1775,1
1277,1776,3
1278,1778,1
1279,1780,5
1280,1782,1
1281,1783,1
1282,1784,3
1283,1785,3
1284,1786,2
1285,1789,1
1286,1790,2
1287,1791,2
1288,1792,2
1289,1793,2
1290,1794,2
1291,1795,2
1292,1796,2
1293,1797,2
1294,1798,2
1295,1799,1
1296,1800,2
1297,1804,1
1298,1805,1
1299,1806,2
1300,1807,2
1301,1809,1
1302,1810,1
1303,1812,1
1304,1813,1
1305,1815,1
1306,1816,1
1307,1819,4
